,clip 1,Samwell Tarly (person with cloak and sword),person in back,avg,clip 2,Samwell Tarly (person with cloak and sword),person in back,avg,clip 3,Samwell Tarly (person with cloak and sword),person in back,avg,clip 4,Samwell Tarly (person with cloak and sword),person in back,avg,clip 5,Samwell Tarly (person with cloak and sword),person in back,avg,clip 6,Samwell Tarly (person with cloak and sword),person in back,avg,clip 7,Samwell Tarly (person with cloak and sword),woman with baby,baby,avg,clip 8,Samwell Tarly (person with cloak and sword),woman with baby,baby,avg,clip 9,Samwell Tarly (person with cloak and sword),woman with baby,baby,avg,clip 10,Samwell Tarly (person with cloak and sword),woman with baby,baby,avg,clip 11,Samwell Tarly (person with cloak and sword),woman with baby,avg,clip 12,Samwell Tarly (person with cloak and sword),woman with baby,avg,clip 13,Samwell Tarly (person with cloak and sword),woman with baby,avg,clip 14,Rob Stark,rob stark wife,avg,clip 15,R. Stark,rob stark wife,Catelyn Stark (red haired woman),avg,clip 16,R Stark,rob stark wife,Catelyn Stark (red haired woman),Man walking by,avg,clip 17,R Stark,rob stark wife,Catelyn Stark (red haired woman),Man walking by,avg,clip 18,Catelyn Stark (red haired woman),Man walking by,avg,clip 19,Catelyn Stark (red haired woman),Man walking by,avg,clip 20,Catelyn Stark (red haired woman),Man walking by,avg,clip 21,Catelyn Stark (red haired woman),avg,clip 22,Catelyn Stark (red haired woman),4 man band,avg,clip 23,Catelyn Stark (red haired woman),4 man band,avg,clip 24,Catelyn Stark (red haired woman),rob stark,avg,clip 25,Catelyn Stark (red haired woman),rob stark,man sitting left of C Stark,avg,clip 26,Catelyn Stark (red haired woman),man sitting left of C Stark,Walder Frey(old man),avg,clip 27,Catelyn Stark (red haired woman),man sitting left of C Stark,avg,clip 28,Catelyn Stark (red haired woman),man sitting left of C Stark,avg,clip 29,Catelyn Stark (red haired woman),man sitting left of C Stark,avg,clip 30,Catelyn Stark (red haired woman),man sitting left of C Stark,avg,clip 31,Catelyn Stark (red haired woman),rob stark,man sitting left of C Stark,avg,clip 32,rob stark,rob stark wife,4 man band,Knife guy,avg,clip 33,rob stark,avg,clip 34,rob stark,rob stark wife,avg,clip 35,rob stark,Walder Frey(old man),avg,clip 36,rob stark wife,Catelyn Stark (red haired woman),avg,clip 37,Hodor (white bearded man),meera reed (girl behind him),jorjen reed (boy behind her),avg,clip 38,Hodor (white bearded man),meera reed (girl behind him),jorjen reed (boy behind her),Bran stark (boy being carried by hodor),avg,clip 39,jorjen reed (boy behind her),avg,clip 40,Hodor (white bearded man),meera reed (girl behind him),jorjen reed (boy behind her),Bran stark (boy being carried by hodor),avg,clip 41,Hodor (white bearded man),jorjen reed (boy behind her),avg,clip 42,meera reed (girl behind him),jorjen reed (boy behind her),avg,clip 43,meera reed (girl behind him),jorjen reed (boy behind her),Bran stark (boy being carried by hodor),avg,clip 44,meera reed (girl behind him),jorjen reed (boy behind her),Hodor (white bearded man),avg,clip 45,Bran stark (boy being carried by hodor),avg,clip 46,Bran stark (boy being carried by hodor),avg,clip 47,Hodor (white bearded man),Bran stark (boy being carried by hodor),avg,clip 48,Hodor (white bearded man),Bran stark (boy being carried by hodor),avg,clip 49,Hodor (white bearded man),Bran stark (boy being carried by hodor),avg,clip 50,Hodor (white bearded man),Bran stark (boy being carried by hodor),short brown hair bearded man (left),long haired man (right),avg,clip 51,short brown hair bearded man (left),Eddison Tollet (long haired man; right),Jon Snow,Allisor Thorne,avg,clip 52,Allisor Thorne,avg,clip 53,avg,clip 54,avg,clip 55,avg,clip 56,avg,clip 57,avg,clip 58,avg,clip 59,Jon Snow,Allisor Thorne,avg,clip 60,short brown hair bearded man (left),Eddison Tollet (long haired man; right),Jon Snow,Allisor Thorne,avg,clip 61,short brown hair bearded man (left),Eddison Tollet (long haired man; right),Jon Snow,Allisor Thorne,avg,clip 62,Jon Snow,Allisor Thorne,avg,clip 63,short brown hair bearded man (left),Eddison Tollet (long haired man; right),Jon Snow,Allisor Thorne,avg,clip 64,Jon Snow,Allisor Thorne,avg,clip 65,Ygritte (redhead woman),Jon Snow,Allisor Thorne,avg,clip 66,Ygritte (redhead woman),avg,clip 67,Samwell Tarly,Pypar,avg,clip 68,Samwell Tarly,Pypar,avg,clip 69,Samwell Tarly,Pypar,avg,clip 70,Samwell Tarly,Pypar,avg,clip 71,Allisor Thorne,avg,clip 72,Allisor Thorne,avg,clip 73,Allisor Thorne,avg,clip 74,Allisor Thorne,avg,clip 75,Allisor Thorne,avg,clip 76,Allisor Thorne,avg,clip 77,Allisor Thorne,avg,clip 78,Allisor Thorne,avg,clip 79,Allisor Thorne,avg,clip 80,Ygritte (redhead woman),Jon Snow,avg,clip 81,Ygritte (redhead woman),Jon Snow,avg,clip 82,Ygritte (redhead woman),Jon Snow,avg,clip 83,Ygritte (redhead woman),Jon Snow,Olly (young boy),avg,clip 84,Ygritte (redhead woman),Jon Snow,avg,clip 85,Ygritte (redhead woman),Jon Snow,avg,clip 86,Ygritte (redhead woman),Jon Snow,avg,clip 87,Ygritte (redhead woman),Jon Snow,avg,clip 88,Ygritte (redhead woman),Jon Snow,avg,clip 88,Ygritte (redhead woman),Jon Snow,avg,clip 89,Ygritte (redhead woman),Jon Snow,avg,clip 90,Ygritte (redhead woman),Jon Snow,avg,clip 91,Ygritte (redhead woman),Jon Snow,avg,clip 92,Ygritte (redhead woman),Jon Snow,avg,clip 93,Ygritte (redhead woman),Jon Snow,avg,clip 94,Ygritte (redhead woman),Jon Snow,avg,clip 95,Ygritte (redhead woman),Jon Snow,avg,clip 96,Ygritte (redhead woman),Jon Snow,avg,clip 97,Ygritte (redhead woman),Jon Snow,avg,clip 98,Ygritte (redhead woman),Jon Snow,avg,clip 99,Ygritte (redhead woman),Jon Snow,avg,clip 100,Ygritte (redhead woman),Jon Snow,avg,clip 101,Ygritte (redhead woman),Jon Snow,avg,clip 102,Jon Snow,avg
character_positivity (1-9)good person?,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,,9,9,9,,9,9,9,,7,5,6,,7,5,8,6.666666667,,7,7,8,5,6.75,,8,8,7,5,7,,8,5,6.5,,8,4,6,,8,4,6,,8,9,,9,5,7,,8,5,6.5,,8,7,7.5,,8,7,5,6.666666667,,8,7,4,6.333333333,,8,7,7.5,,8,7,7.5,,8,7,7.5,,8,7,7.5,,6,7,4,5.666666667,,8,9,1,1,4.75,,8,8,,8,9,8.5,,8,1,4.5,,9,7,8,,5,5,5,5,,5,5,5,5,5,,5,5,,5,5,5,5,5,,5,5,5,,7,5,6,,7,7,5,6.333333333,,7,7,6,6.666666667,,6,6,,6,6,,7,6,6.5,,7,6,6.5,,7,7,7,,7,7,5,5,6,,5,5,5,5,5,,5,5,,0,,0,,0,,0,,0,,0,,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,5,5,5,,6,6,6,6,6,,6,6,6,,5,6,6,5.666666667,,4,4,,7,6,6.5,,7,6,6.5,,7,6,6.5,,7,6,6.5,,5,5,,5,5,,7,7,,7,7,,7,7,,8,8,,9,9,,9,9,,9,9,,4,6,5,,4,6,5,,4,7,5.5,,4,7,4,5,,4,7,5.5,,6,7,6.5,,6,8,7,,6,8,7,,6,8,7,,6,8,7,,6,8,7,,6,8,7,,7,8,7.5,,7,9,8,,7,9,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,,#DIV/0!
positive_behavior (1-9) good behavior?,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,8,8.666666667,,8,8,8,7,7.75,,8,8,7,4,6.75,,5,4,4.5,,5,4,4.5,,5,4,4.5,,5,5,,5,7,6,,5,7,6,,8,6,7,,7,7,7,7,,7,7,5,6.333333333,,5,5,5,,5,6,5.5,,5,6,5.5,,5,6,5.5,,3,6,2,3.666666667,,5,5,1,1,3,,5,5,,5,5,5,,5,1,3,,5,5,5,,5,5,5,5,,7,5,5,,5.666666667,,5,5,,7,5,5,5,5.5,,5,5,5,,8,5,6.5,,8,7,5,6.666666667,,8,6,6,6.666666667,,5,5,,5,5,,5,6,5.5,,5,6,5.5,,7,9,8,,7,9,5,5,6.5,,5,5,5,5,5,,5,5,,0,,0,,0,,0,,0,,0,,5,6,5.5,,4,5,5,5,4.75,,4,4,5,4,4.25,,5,4,4.5,,6,6,6,6,6,,5,6,5.5,,5,5,6,5.333333333,,2,2,,4,3,3.5,,4,3,3.5,,4,3,3.5,,4,4,4,,6,6,,7,7,,8,8,,8,8,,8,8,,8,8,,9,9,,9,9,,9,9,,3,6,4.5,,4,6,5,,5,6,5.5,,5,6,3,5.5,,5,7,6,,5,9,7,,5,9,7,,6,9,7.5,,5,9,7,,5,9,7,,7,9,8,,7,9,8,,8,8,8,,8,9,8.5,,6,8,7,,7,9,8,,6,8,7,,5,8,6.5,,5,8,6.5,,5,9,7,,5,9,7,,5,9,7,,5,7,6,,,#DIV/0!
positive_relationship (1-9),,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,6,7,7,6.666666667,,6,7,7,6.666666667,,7,7,7,7,,7,8,8,7.666666667,,7,7,7,,7,7,7,,7,7,7,,7,7,7,,8,8,7,7.666666667,,9,9,6,5,7.25,,8,8,6,4,6.5,,3,2,2.5,,2,2,2,,2,2,2,,0,0,,4,5,4.5,,4,5,4.5,,8,8,8,,6,6,5,5.666666667,,5,5,5,5,,6,6,6,,8,8,8,,8,8,8,,8,8,8,,5,6,2,4.333333333,,6,6,1,1,3.5,,4,4,,9,9,9,,1,1,1,,7,7,7,,5,5,5,5,,7,6,6,7,6.5,,0,0,,7,6,6,7,6.5,,7,7,7,,8,7,7.5,,8,8,7,7.666666667,,8,8,7,7.666666667,,0,0,,0,0,,8,8,8,,8,8,8,,9,9,9,,9,9,5,5,7,,6,6,6,6,6,,0,0,,0,,0,,0,,0,,0,,0,,6,6,6,,6,6,7,7,6.5,,4,4,5,4,4.25,,6,6,6,,6,6,5,5,5.5,,6,6,6,,1,4,4,3,,0,0,,7,7,7,,7,7,7,,7,7,7,,7,7,7,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,4,3.5,,5,6,5.5,,5,5,5,,2,6,3,4,,5,6,5.5,,5,8,6.5,,6,8,7,,6,8,7,,7,8,7.5,,7,8,7.5,,8,8,8,,8,8,8,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,,#DIV/0!
char_pos_past good person?,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,,9,9,9,,9,9,9,,7,5,6,,7,5,9,7,,9,9,9,5,8,,9,9,7,4,7.25,,8,4,6,,9,4,6.5,,9,4,6.5,,9,9,,9,6,7.5,,8,6,7,,8,8,8,,8,8,6,7.333333333,,8,7,4,6.333333333,,8,7,7.5,,8,7,7.5,,8,7,7.5,,8,7,7.5,,8,8,6,7.333333333,,8,9,3,2,5.5,,8,8,,8,9,8.5,,7,2,4.5,,9,7,8,,5,5,5,5,,7,6,6,6,6.25,,6,6,,7,6,6,6,6.25,,7,7,7,,9,6,7.5,,9,6,6,7,,8,6,6,6.666666667,,6,6,,6,6,,7,5,6,,7,6,6.5,,7,7,7,,7,7,5,5,6,,5,5,5,5,5,,5,5,,0,,0,,0,,0,,0,,0,,5,5,5,,5,5,6,6,5.5,,5,5,5,6,5.25,,5,5,5,,5,5,5,5,5,,6,6,6,,5,6,6,5.666666667,,4,4,,9,6,7.5,,7,6,6.5,,4,4,4,,4,4,4,,6,6,,6,6,,7,7,,7,7,,7,7,,8,8,,8,8,,9,9,,9,9,,3,6,4.5,,4,6,5,,4,6,5,,4,6,5,5,,4,7,5.5,,5,7,6,,5,8,6.5,,5,8,6.5,,6,8,7,,6,8,7,,7,8,7.5,,7,8,7.5,,7,9,8,,7,9,8,,7,8,7.5,,7,9,8,,7,9,8,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,,#DIV/0!
char_pos_ future,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,9,,9,9,9,,9,9,9,,9,9,9,,7,5,6,,7,5,7,6.333333333,,9,9,7,5,7.5,,8,8,7,4,6.75,,8,4,6,,8,3,5.5,,7,3,5,,7,7,,8,5,6.5,,6,5,5.5,,7,7,7,,8,7,5,6.666666667,,7,6,3,5.333333333,,8,7,7.5,,7,6,6.5,,6,6,6,,6,5,5.5,,6,7,3,5.333333333,,8,9,1,1,4.75,,8,8,,7,6,6.5,,7,1,4,,9,7,8,,5,5,5,5,,7,6,6,6,6.25,,7,7,,7,6,7,6,6.5,,8,7,7.5,,9,8,8.5,,8,8,6,7.333333333,,8,8,7,7.666666667,,6,6,,6,6,,7,7,7,,7,7,7,,8,8,8,,8,8,5,5,6.5,,6,6,6,6,6,,6,6,,0,,0,,0,,0,,0,,0,,5,5,5,,5,5,6,5,5.25,,5,5,6,4,5,,6,6,6,,6,6,6,6,6,,6,6,6,,4,6,6,5.333333333,,3,3,,6,5,5.5,,6,6,6,,6,6,6,,6,6,6,,6,6,,6,6,,6,6,,6,6,,6,6,,6,6,,7,7,,7,7,,7,7,,5,6,5.5,,5,6,5.5,,6,7,6.5,,6,7,5,6.5,,6,7,6.5,,6,8,7,,6,8,7,,6,8,7,,6,9,7.5,,6,9,7.5,,6,9,7.5,,6,8,7,,7,9,8,,7,9,8,,7,9,8,,7,9,8,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,9,8.5,,8,7,7.5,,,#DIV/0!
situ_pos_curr,,1,1,1,,1,1,1,,1,1,1,,3,1,2,,1,1,1,,1,1,1,,1,1,1,1,,1,2,2,1.666666667,,4,1,1,2,,6,5,5,5.333333333,,7,7,7,,9,9,9,,9,9,9,,9,9,9,,9,9,9,9,,9,9,7,7,8,,8,8,7,7,7.5,,5,6,5.5,,4,6,5,,4,6,5,,5,5,,4,6,5,,4,5,4.5,,6,6,6,,6,5,7,6,,5,5,6,5.333333333,,5,5,5,,4,4,4,,4,4,4,,3,3,3,,3,2,5,3.333333333,,1,2,5,6,3.5,,1,1,,1,2,1.5,,1,8,4.5,,1,1,1,,6,6,6,6,,6,6,6,6,6,,3,3,,4,4,2,4,3.5,,3,2,2.5,,4,4,4,,6,6,3,5,,6,7,3,5.333333333,,2,2,,6,6,,2,4,3,,2,4,3,,7,6,6.5,,8,7,5,5,6.25,,4,4,4,4,4,,3,3,,0,,0,,0,,0,,0,,0,,5,5,5,,4,5,5,5,4.75,,4,4,5,4,4.25,,4,4,4,,4,4,4,4,4,,6,6,6,,3,4,4,3.666666667,,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,3,3,,4,4,,6,6,,6,6,,8,8,,8,8,,8,8,,7,7,,6,6,,6,4,5,,1,5,3,,1,5,3,,1,3,7,2,,1,4,2.5,,1,3,2,,1,3,2,,1,3,2,,1,2,1.5,,1,2,1.5,,2,2,2,,2,3,2.5,,2,3,2.5,,2,2,2,,1,2,1.5,,2,1,1.5,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,2,1.5,,,#DIV/0!
situ_pos_past,,9,9,9,,1,1,1,,1,1,1,,1,1,1,,3,1,2,,1,1,1,,1,1,1,1,,1,1,1,1,,4,1,1,2,,4,1,1,2,,6,5,5.5,,7,6,6.5,,7,7,7,,9,9,9,,9,9,6,8,,9,9,9,8,8.75,,9,9,8,8,8.5,,6,7,6.5,,5,6,5.5,,5,6,5.5,,5,5,,6,7,6.5,,4,5,4.5,,5,6,5.5,,6,6,7,6.333333333,,5,5,6,5.333333333,,5,5,5,,5,5,5,,4,4,4,,4,4,4,,5,4,6,5,,4,6,5,5,5,,1,1,,1,1,1,,1,6,3.5,,2,3,2.5,,6,6,6,6,,6,6,6,6,6,,7,7,,6,6,3,6,5.25,,4,2,3,,5,2,3.5,,5,4,4,4.333333333,,6,7,3,5.333333333,,3,3,,2,2,,3,3,3,,2,3,2.5,,2,5,3.5,,7,6,5,5,5.75,,5,5,5,5,5,,4,4,,0,,0,,0,,0,,0,,0,,5,5,5,,5,5,5,5,5,,4,4,5,4,4.25,,5,5,5,,4,4,4,4,4,,5,5,5,,3,4,4,3.666666667,,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,,4,4,,5,5,,6,6,,6,6,,7,7,,8,8,,8,8,,8,8,,4,6,5,,5,3,4,,1,5,3,,1,4,6,2.5,,1,3,2,,1,4,2.5,,1,3,2,,1,3,2,,1,2,1.5,,1,2,1.5,,1,2,1.5,,2,3,2.5,,2,3,2.5,,2,2,2,,2,2,2,,2,2,2,,2,1,1.5,,2,1,1.5,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,,#DIV/0!
situ_pos_future,,5,5,5,,1,1,1,,1,1,1,,4,1,2.5,,1,1,1,,2,1,1.5,,1,1,1,1,,1,2,2,1.666666667,,1,1,1,1,,8,7,7,7.333333333,,8,8,8,,8,8,8,,9,9,9,,9,9,9,,9,9,7,8.333333333,,8,8,6,7,7.25,,8,8,6,7,7.25,,4,5,4.5,,3,5,4,,3,5,4,,4,4,,3,5,4,,4,4,4,,5,5,5,,5,4,6,5,,4,4,7,5,,4,4,4,,2,2,2,,2,2,2,,2,2,2,,2,1,5,2.666666667,,1,1,7,7,4,,1,1,,1,1,1,,1,8,4.5,,1,1,1,,6,6,6,6,,6,6,6,6,6,,4,4,,4,4,3,4,3.75,,3,2,2.5,,5,5,5,,7,7,3,5.666666667,,7,6,4,5.666666667,,3,3,,4,4,,2,4,3,,3,5,4,,8,8,8,,8,7,5,5,6.25,,4,4,4,4,4,,2,2,,0,,0,,0,,0,,0,,0,,4,4,4,,4,4,4,4,4,,4,4,5,5,4.5,,4,4,4,,4,4,4,4,4,,4,4,4,,3,4,4,3.666666667,,4,4,,4,4,4,,4,4,4,,4,4,4,,4,3,3.5,,3,3,,3,3,,3,3,,3,3,,3,3,,4,4,,5,5,,5,5,,5,5,,6,4,5,,1,5,3,,1,5,3,,1,3,7,2,,1,3,2,,1,3,2,,1,3,2,,2,2,2,,1,1,1,,1,1,1,,1,1,1,,1,2,1.5,,1,2,1.5,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,3,2,,,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
