,presence/absence of camera_cuts
0,0.0
1,0.0
2,0.019130351982152304
3,0.25510521548559695
4,0.6437277151964776
5,0.7320737881661148
6,0.7019861942262966
7,0.8395227102443199
8,1.004879380734546
9,1.3118958572668946
10,1.7178998476476504
11,1.7988496911597254
12,1.7520697174628383
13,1.8529179761795613
14,1.7492176555908787
15,1.4224966795079192
16,1.3463907017104586
17,1.385663838488639
18,1.4854889730833674
19,1.9267321625951834
20,2.1016098404019323
21,1.9233080472070005
22,1.6636243434402838
23,1.3095254648923143
24,1.058765445066808
25,1.1464125700365195
26,1.266384725167013
27,0.9617705736670382
28,0.6379396629243368
29,0.42717327225254953
30,0.15221769174754915
31,-0.051365746561609665
32,-0.13300934673756742
33,-0.11795506767726874
34,0.12682500052576254
35,0.35217404290768894
36,0.5152426537945511
37,0.7801914786700058
38,0.9720224252176582
39,0.8321220139215896
40,0.4441839226822385
41,0.12383154883007857
42,-0.04402404018179737
43,-0.08456915926626138
44,0.13114864552050232
45,0.3271654917580881
46,0.27240762580379135
47,0.34856065963398525
48,0.42820279977493686
49,0.3005713316822876
50,0.3584317122375903
51,0.6620200987617624
52,0.9247248950767895
53,1.0581800362831313
54,1.1013584992866774
55,1.116733522159753
56,1.3101114991302372
57,1.4554703542182823
58,1.3319995976541923
59,1.1360331578858571
60,0.8050355204770485
61,0.5774096469364507
62,0.6792108224399334
63,1.0596708341048056
64,1.4235031206762994
65,2.3078704889529984
66,3.5078127583677414
67,3.528952761024879
68,2.801608842561089
69,2.8961378359227092
70,2.9645281437206825
71,2.4204110274279103
72,2.239937940273637
73,2.2445808998277506
74,1.674364584805773
75,0.9357477869215909
76,0.44562162239592606
77,0.27689049548068023
78,0.4754481740476422
79,0.9775325808942935
80,1.7785281141913583
81,2.3542202912333505
82,2.417347164673356
83,2.062726932989866
84,1.5447515015235898
85,1.3589591129081822
86,1.366531599275845
87,1.6331407180603783
88,1.840303802313247
89,1.8002325858662724
90,1.8665209174806474
91,1.9681274709663052
92,2.0044866442255533
93,1.8041711558811213
94,1.6693871784608327
95,2.1974964999312308
96,2.656391554002174
97,2.115838454869657
98,1.5298552361546007
99,1.9701797656411792
100,2.5337479811455226
101,2.476189742580533
102,1.9900971767012154
103,1.218489369052405
104,0.848498932683425
105,0.7218605198285719
106,0.5465532537680851
107,0.3811289125871127
108,0.13085935420437092
109,-0.036384913670612556
110,0.1049068760592323
111,0.271445890237789
112,0.19459146543496117
113,0.08426107954896725
114,0.22454093860456903
115,0.3844475472366506
116,0.4932621998113783
117,0.5282824201038939
118,0.5672233914633271
119,0.8089582238049717
120,1.430556934787718
121,1.8881952369801933
122,1.9278541269470093
123,1.7671293634609602
124,1.451496274273011
125,1.3800919350787402
126,1.41137781496126
127,1.464643254541905
128,1.4669068885975451
129,1.2755260214346498
130,1.0823358938717735
131,0.9755895085197024
132,0.993274833286454
133,1.6601589720161836
134,2.4062325442724672
135,2.307477308825712
136,1.9460597960870325
137,1.6632644010640991
138,1.5004557743103495
139,1.2063044930041515
140,1.0465501824336805
141,1.3887040621888762
142,1.9881825155110273
143,2.3698978212624984
144,2.110864507302283
145,1.3459496159517665
146,0.7476976546214467
147,0.648246583945748
148,0.9503975518945177
149,1.2294456536041378
150,1.232804345493202
151,1.363427954399582
152,1.6562338909980614
153,1.4858716764669793
154,1.2468404298502735
155,1.2494664882418793
156,1.1773748097879433
157,1.3136096145412282
158,1.8918746679831093
159,2.584857491546619
160,2.9952939459989194
161,2.710106934509589
162,1.9237436474871386
163,1.2699275581641398
164,0.9222998862397735
165,0.7953318695266285
166,0.7901352380957098
167,0.8379762420578125
168,0.8762382247322122
169,0.6863269957835632
170,0.34616743215476914
171,0.5098269664738033
172,0.9554931427666731
173,1.126634766717925
174,1.104353675724262
175,0.851947789450507
176,0.6263840868758059
177,0.46469318762708034
178,0.22139662803529758
179,0.2506580676713882
180,0.5479055920435633
181,0.6011996487185308
182,0.3718355452672473
183,0.3458733157158253
184,0.4031301993780489
185,0.46535084410685923
186,0.4677245529964547
187,0.27451636324949846
188,0.08073838268657572
189,-0.02576551901311732
190,-0.045790672624905576
191,0.18785065251691374
192,0.5905402377235272
193,0.6777127931314397
194,0.4458344960661995
195,0.4215379152426718
196,0.6566961369607759
197,0.6579982595764964
198,0.375647223833227
199,0.11574812832687534
200,-0.02398099027784125
201,-0.0773210469387259
202,-0.06393833856650608
203,0.16952820306057848
204,0.38276546595194094
205,0.515847217840023
206,0.5366627229479607
207,0.3917727488189931
208,0.8872957986109067
209,1.967797978611053
210,2.577516891198453
211,2.368912784541544
212,1.969326569768469
213,1.4228931519261732
214,0.6432510085229802
215,0.08108221567059715
216,0.030577909248108277
217,0.15988679349434823
218,0.3286758040031781
219,0.6202834255720551
220,0.6652440270501132
221,0.6481977179654314
222,0.993352677987324
223,1.1106937144958242
224,0.9237453468875063
225,0.8931492850017084
226,0.9510656025297954
227,0.9746656880102449
228,0.7764063160029144
229,0.6109363005334697
230,0.7130599134516149
231,0.8725143760738023
232,0.955035488602911
233,0.7864404037273391
234,0.6304702603981416
235,0.7307272305039771
236,0.8845460937727884
237,0.9811632231455933
238,1.0257620373025274
239,1.0397138951000866
240,1.0366104076183027
241,1.0073591307706677
242,0.7801626084580682
243,0.6007353138764089
244,0.6988487782042103
245,0.8600533834894026
246,0.9465879918253245
247,0.8006823549420541
248,0.844766192233206
249,0.9397147375420934
250,1.2534939556844389
251,1.6137853895780874
252,1.2743218453649383
253,0.627118847854145
254,0.3752148083943176
255,0.5267383110896142
256,0.5412186403321908
257,0.5232140899334871
258,0.7075997137452049
259,0.8841440422031256
260,0.7948566061118207
261,0.8612723533777782
262,0.9235866213190891
263,0.782878954193154
264,0.5966247385426912
265,0.5019953702178699
266,0.4708250687668196
267,0.7072899441933101
268,1.0768062367984454
269,0.9704460080751538
270,0.7341610473614872
271,0.55738497679071
272,0.500946885471957
273,0.6778999189779489
274,0.8763060831490885
275,0.976136479296978
276,0.7916357469342424
277,0.4331178490691391
278,0.571739944204158
279,0.9941057435354222
280,1.148010183458496
281,1.1339689657452903
282,1.0926546082724875
283,1.0552640630204253
284,1.025681580227003
285,1.0261980841939589
286,1.253680968156867
287,1.6403707662298077
288,1.7102384110488331
289,1.4644083383902813
290,1.4309716681657711
291,1.6801188463683292
292,1.914847252801266
293,2.0391978836352536
294,2.0649194227445435
295,1.8306528401558917
296,1.4236645326000457
297,1.2931665923052384
298,1.106487524406762
299,1.0014798245609344
300,1.1034660269018706
301,0.873171055318986
302,0.6066063966611501
303,0.4445597642912813
304,0.4380042434746687
305,0.8624765097533851
306,1.2939534510668644
307,1.7584944292655749
308,2.0359086341251458
309,2.1917143387077154
310,2.3653504131869845
311,2.1236495657189165
312,2.0105909686853156
313,1.9591079408888645
314,1.7850271081462292
315,1.7804003937941841
316,1.6423684171183481
317,1.3456664149530608
318,1.5300584946392348
319,2.0011070295996474
320,2.3867198390605404
321,2.5488392674815454
322,2.442370017873
323,2.6919773496730173
324,3.1144319808884
325,3.00897906626939
326,2.551912191149929
327,2.1736683077660706
328,1.9719245900851958
329,1.8747592419110464
330,1.6302006363962391
331,1.2270722101129659
332,0.7555442197477873
333,0.6849295648975499
334,0.9410290867768718
335,1.0285338490655094
336,1.030952643832821
337,1.2109957892682917
338,1.177954635524678
339,1.1365181524002643
340,1.5026897613819472
341,2.0655752397659985
342,2.2017966625622942
343,1.8022040577354286
344,1.7715432101591144
345,1.8596547034959547
346,1.7698702937222455
347,1.8022392358091202
348,1.6759261095711686
349,1.3769231011352596
350,1.5531503596335292
351,2.015388514498328
352,2.3944098142444665
353,2.5333086803013978
354,2.131364529449858
355,1.2836265806431453
356,0.4322976898809608
357,-0.04868194803008642
358,0.19996855649392092
359,0.7604876170187111
360,1.0255330072965547
361,1.066148467307821
362,0.8464266927860155
363,0.6516154750416951
364,0.784348436032982
365,1.597285493577477
366,2.483066758995573
367,3.084917605415787
368,3.5356535571480516
369,4.012497739793439
370,4.4399307383206645
371,4.469657132854945
372,4.0827595957694385
373,3.301361572104168
374,2.486482179893928
375,1.974052130335103
376,1.8000360447076553
377,2.2199304358047076
378,2.829126481297449
379,2.8664072517320776
380,2.498782146188274
381,2.145139090837605
382,1.7420664228077873
383,1.493953124152927
384,1.6431577268458337
385,2.535966259985125
386,3.857520409433478
387,4.378348587400434
388,3.98434794088165
