,presence/absence of speaking
0,0.0
1,0.0
2,0.001124157838234583
3,0.013410969407409733
4,0.028862657269474228
5,0.02837965667103962
6,0.02847380233191936
7,0.035072325491074266
8,0.04037453823269122
9,0.04255959269059757
10,0.04291614376936369
11,0.0424784069321258
12,0.0417680569391072
13,0.04108111476323184
14,0.040564278914334
15,0.040240274123432375
16,0.040064686275297814
17,0.03998029659302619
18,0.03994628915063234
19,0.03993252604572392
20,0.039924714118406285
21,0.04040534072749574
22,0.04637686005921628
23,0.05422141257418865
24,0.05369810638020203
25,0.04763998437205064
26,0.04145709810689675
27,0.027545424119555934
28,0.020996398359847877
29,0.014412727096158966
30,0.004403737552859194
31,-0.0022023563358194954
32,-0.004559181148945424
33,-0.0034212392496750163
34,0.00869756615395233
35,0.015262399154759434
36,0.022632909060705517
37,0.03359423951726648
38,0.03987349851369598
39,0.030482870836805766
40,0.014205974371198348
41,0.0027296346407730326
42,-0.0027348076586647674
43,-0.003260532976631412
44,0.008225532688388156
45,0.013609779016391994
46,0.009968189107786076
47,0.01567548769213236
48,0.016796448614667035
49,0.010600232635435336
50,0.016213385022514272
51,0.02931971862804588
52,0.038725124732923735
53,0.042999257927718804
54,0.04412576546661681
55,0.043686286814032936
56,0.04265174544557535
57,0.041614135092769886
58,0.04084264003249875
59,0.03924827651477168
60,0.027833457180742573
61,0.023426025924953173
62,0.029274447945444024
63,0.03554934625372025
64,0.039222383527044484
65,0.040918974717291626
66,0.041420508861141805
67,0.041264754229887304
68,0.040863985099494335
69,0.040479309480170395
70,0.040210887163888674
71,0.04005687434798017
72,0.03998029659302619
73,0.038822131312397756
74,0.027645714476548768
75,0.022224710579872617
76,0.01695824941672517
77,0.018965688626103535
78,0.02854273039453853
79,0.036535794925287954
80,0.040718178269780005
81,0.042259014828772645
82,0.042359779842229855
83,0.041819349591651414
84,0.04115015814497673
85,0.04061146970974429
86,0.04026646963850858
87,0.04007844938020624
88,0.03998810852034383
89,0.03994628915063234
90,0.03993252604572392
91,0.039924714118406285
92,0.039924714118406285
93,0.039924714118406285
94,0.039924714118406285
95,0.039924714118406285
96,0.0388005562801717
97,0.027637902549231128
98,0.023348868418107203
99,0.029245060985900323
100,0.03554153432640261
101,0.039222383527044484
102,0.03979481687905704
103,0.029133697291966652
104,0.023564750691353643
105,0.017897520397813227
106,0.01839612614963306
107,0.01541793403261119
108,0.006681140047153039
109,0.0012314503424197313
110,0.009517753397955422
111,0.013191458846266348
112,0.007741284699462484
113,0.0033955724932556147
114,0.011678728699802885
115,0.015989600388766616
116,0.021121102511525644
117,0.020589407957256348
118,0.02379028774825188
119,0.03279956390683697
120,0.03957901911604101
121,0.04258318709227818
122,0.04326133042513674
123,0.04284150751922369
124,0.04202866732807128
125,0.041235127579140336
126,0.04064085666928798
127,0.04027428156582622
128,0.04007844938020624
129,0.03998810852034383
130,0.03994628915063234
131,0.03993252604572392
132,0.039924714118406285
133,0.039924714118406285
134,0.039924714118406285
135,0.039924714118406285
136,0.039924714118406285
137,0.039924714118406285
138,0.0388005562801717
139,0.027637902549231128
140,0.023348868418107203
141,0.029245060985900323
142,0.03554153432640261
143,0.039222383527044484
144,0.03979481687905704
145,0.029133697291966652
146,0.024688908529588223
147,0.03018433196698838
148,0.03609612968816672
149,0.03950855657252688
150,0.04105113494686552
151,0.04147609133576171
152,0.04016217142387878
153,0.028584985457636825
154,0.02390346377987131
155,0.029531234031382716
156,0.03567369455597651
157,0.039277966001664395
158,0.040940549749517684
159,0.04142832078845944
160,0.041264754229887304
161,0.040863985099494335
162,0.040479309480170395
163,0.040210887163888674
164,0.04005687434798017
165,0.03998029659302619
166,0.03994628915063234
167,0.03993252604572392
168,0.0388005562801717
169,0.026513744710996545
170,0.011062056848932052
171,0.012669215285601245
172,0.024861881193896655
173,0.03483920373504082
174,0.03909248628769525
175,0.030127957890851993
176,0.025060545434089164
177,0.018113402671059667
178,0.008172743399780552
179,0.012807653101485954
180,0.025150317229603703
181,0.023111771774560412
182,0.012771184474782593
183,0.015003770729619283
184,0.015973311768019798
185,0.019704684334558634
186,0.017752048158440198
187,0.008941125442181074
188,0.0018316584483286126
189,-0.0016558075908462923
190,-0.0016362880745057085
191,0.010788160979392353
192,0.02689086428938313
193,0.026000667846690886
194,0.015492423244088564
195,0.01815472427067289
196,0.028416992000150722
197,0.024702049089246624
198,0.012205423038067018
199,0.002798387363478739
200,-0.0017857963503757146
201,-0.003330823748867365
202,-0.0021300102910382494
203,0.009819757772412268
204,0.016128979688835525
205,0.022096309334890908
206,0.020532880289928817
207,0.01231839885790853
208,0.016722731093682087
209,0.02916396399679138
210,0.038324355602530766
211,0.04261458230839486
212,0.04273318531210051
213,0.0301213045907147
214,0.01258835258291255
215,0.002037817248395855
216,0.008066040464547043
217,0.012312647340642063
218,0.019453173265138526
219,0.02998578540477078
220,0.027114205169873052
221,0.02642945558936765
222,0.03194907020088427
223,0.026530556888297543
224,0.02495950657504683
225,0.031652508315549915
226,0.037801242167322106
227,0.039809408279936925
228,0.029732981318322124
229,0.025462652924544377
230,0.0308928491750898
231,0.036620777464382206
232,0.03870840352519392
233,0.028939911225824923
234,0.024984635317734257
235,0.030640683572001254
236,0.03650238033971673
237,0.039784790816126236
238,0.041205147762774015
239,0.04155266909071569
240,0.041320336704507216
241,0.03976140229348581
242,0.028200309838312877
243,0.023635041463589593
244,0.029377221215474217
245,0.035597116801022524
246,0.03811980072103596
247,0.028639975075434112
248,0.023720505322608137
249,0.018298289528206196
250,0.019904959607191592
251,0.027973167918068056
252,0.023410998563360614
253,0.011987681229879678
254,0.015059098470587517
255,0.026194364111711714
256,0.02445483956642844
257,0.024866242452201204
258,0.03242187191885919
259,0.037594966862486874
260,0.029368618312238373
261,0.02477623192354767
262,0.019316387598933258
263,0.019607716101723904
264,0.017382932510645238
265,0.019467544255364372
266,0.018067273573124994
267,0.021439961493361435
268,0.02990922075474743
269,0.026165193861584
270,0.02425143068513444
271,0.01997930571842954
272,0.021742509870029413
273,0.030591101129583617
274,0.03782463335379595
275,0.040302351055109494
276,0.02919761286878285
277,0.013650857834555587
278,0.014627245160783923
279,0.026108900252693166
280,0.035533771253696465
281,0.040558399646032126
282,0.042568504721827105
283,0.04282394337456037
284,0.04222560024320142
285,0.04142639238857609
286,0.04076548252565278
287,0.04034304739346257
288,0.04011245682260008
289,0.04000187162525225
290,0.03995410107794998
291,0.03993252604572392
292,0.039924714118406285
293,0.039924714118406285
294,0.039924714118406285
295,0.039924714118406285
296,0.039924714118406285
297,0.0388005562801717
298,0.027637902549231128
299,0.023348868418107203
300,0.02812090314766574
301,0.023254722757227463
302,0.021522379988510826
303,0.017952510015610514
304,0.020461483368839056
305,0.029882770506019556
306,0.03747506590637601
307,0.04127277363154412
308,0.04254518787425504
309,0.042491940071803756
310,0.041874932066271325
311,0.041171733177202796
312,0.040619281637061924
313,0.04026646963850858
314,0.04007844938020624
315,0.03998810852034383
316,0.03994628915063234
317,0.03993252604572392
318,0.039924714118406285
319,0.039924714118406285
320,0.039924714118406285
321,0.039924714118406285
322,0.039924714118406285
323,0.039924714118406285
324,0.039924714118406285
325,0.039924714118406285
326,0.039924714118406285
327,0.039924714118406285
328,0.039924714118406285
329,0.039924714118406285
330,0.039924714118406285
331,0.0388005562801717
332,0.027637902549231128
333,0.023348868418107203
334,0.029245060985900323
335,0.03554153432640261
336,0.039222383527044484
337,0.03979481687905704
338,0.029133697291966652
339,0.024688908529588223
340,0.03018433196698838
341,0.03609612968816672
342,0.03950855657252688
343,0.04105113494686552
344,0.04147609133576171
345,0.04128632926211337
346,0.04087179702681197
347,0.040479309480170395
348,0.040210887163888674
349,0.04005687434798017
350,0.03998029659302619
351,0.03994628915063234
352,0.03993252604572392
353,0.039924714118406285
354,0.0388005562801717
355,0.026513744710996545
356,0.009937899010697469
357,0.0003824037164260939
358,0.008286035493597578
359,0.024159550602534864
360,0.03583346433392617
361,0.04058828103043077
362,0.03146799800233302
363,0.0271239742534118
364,0.032078967440233516
365,0.03732157371473717
366,0.04019531216386489
367,0.04139289046696781
368,0.04162982659756166
369,0.041349723664050916
370,0.040893372059038036
371,0.04048712140748803
372,0.040210887163888674
373,0.04005687434798017
374,0.03998029659302619
375,0.03994628915063234
376,0.03993252604572392
377,0.039924714118406285
378,0.039924714118406285
379,0.039924714118406285
380,0.039924714118406285
381,0.039924714118406285
382,0.039924714118406285
383,0.039924714118406285
384,0.039924714118406285
385,0.039924714118406285
386,0.039924714118406285
387,0.039924714118406285
388,0.039924714118406285
