,prescence of camera cut
0,0.0
1,0.0
2,0.001124157838234583
3,0.01229386031128249
4,0.022508937920052187
5,0.02696297650273805
6,0.024502991977388998
7,0.03015386052757815
8,0.038759234269715295
9,0.055209882473689076
10,0.07314685631690833
11,0.07785062300563153
12,0.07123954474850032
13,0.07324290576604248
14,0.072595158262414
15,0.05938071915834516
16,0.05209664932499165
17,0.055161815244546664
18,0.05631361449221563
19,0.07471418671964938
20,0.09373684386563053
21,0.08622796235598273
22,0.08015474178290193
23,0.07142724800382215
24,0.05880869653598236
25,0.06169404320739501
26,0.06072760950896333
27,0.03887707980288625
28,0.024147975144647435
29,0.013273583732610427
30,0.0016705743339328282
31,-0.005084628759489104
32,-0.006884324022214029
33,-0.006094095467700733
34,0.001453644016336241
35,0.014505413548548285
36,0.025926526444018404
37,0.036358925813403546
38,0.04137039988485816
39,0.03112827179456744
40,0.014344447800124546
41,0.0025982346926411493
42,-0.0029454066834674717
43,-0.003441314113739055
44,0.008107234862697314
45,0.01354498451401934
46,0.008820025639535855
47,0.009308390288543921
48,0.01649160129445762
49,0.014100250726454256
50,0.017948210480614513
51,0.02337980980799078
52,0.03161249246335909
53,0.03998445902606756
54,0.050046747091557015
55,0.051365608802078154
56,0.05344467795610145
57,0.060099272197783146
58,0.05562235748260426
59,0.046248810944871474
60,0.028413440137262668
61,0.01622085898916848
62,0.027260730836396574
63,0.043296869804692904
64,0.06288973689362617
65,0.11817916928350414
66,0.16341947503455806
67,0.1544508485522682
68,0.11365551212262207
69,0.11562835837817634
70,0.13420903847723875
71,0.10954989923161877
72,0.09138367309375356
73,0.09065169931902894
74,0.0680430348818797
75,0.034606621473683694
76,0.016647204276296165
77,0.009179844345790764
78,0.022321170955375894
79,0.039847443859400235
80,0.0668930039208791
81,0.09297983239724164
82,0.09872937872690536
83,0.08686794123451627
84,0.059655202786971354
85,0.05319938913922144
86,0.05875939544139032
87,0.06816281310023063
88,0.06920901636239053
89,0.06880774068887527
90,0.07419207855407986
91,0.07901255894622132
92,0.08126850200779635
93,0.07596969569415998
94,0.06561957865778736
95,0.08520147084530003
96,0.12081651860945561
97,0.1024428254657635
98,0.07085506400450883
99,0.08157685013136834
100,0.10153206059381659
101,0.09788617159568108
102,0.07593066567759928
103,0.04799750292930999
104,0.03483479130760457
105,0.029536331106876604
106,0.019337628452360416
107,0.01562815825762721
108,0.007259037605885516
109,-0.0007691249794801378
110,0.0013596434150306266
111,0.011031208611294875
112,0.009722966541696187
113,0.004043041003504229
114,0.006161763446030916
115,0.01482648537005069
116,0.01819566376157991
117,0.021793514806285264
118,0.02221276454306453
119,0.03790055984309224
120,0.06926578568960808
121,0.08682963906992855
122,0.08057365833938354
123,0.07200009694615474
124,0.052886159524532406
125,0.051877192566725745
126,0.058700438288362716
127,0.05805927549735829
128,0.05359361731352086
129,0.04618174493360494
130,0.04181608761635475
131,0.04558842783336273
132,0.046547750943923244
133,0.0650438351335776
134,0.08720773235677451
135,0.08741103231971889
136,0.08092267181439397
137,0.07400621714603198
138,0.06316707084489442
139,0.04836511031549644
140,0.039533527943428355
141,0.04854850322068456
142,0.08097172236792735
143,0.09760173106383159
144,0.08318130682845393
145,0.055295592074311145
146,0.03552897879750565
147,0.030230020300124248
148,0.035988489866421294
149,0.04359014692415773
150,0.05009456642748973
151,0.05482291438558941
152,0.06545648202408773
153,0.05917404930365415
154,0.048915085647596404
155,0.04624543404249325
156,0.04373562240920602
157,0.054549279080785426
158,0.08743403997215936
159,0.12139402069477054
160,0.13323407402194903
161,0.12625966427163288
162,0.09071141524469532
163,0.05028735398992375
164,0.030420801021663828
165,0.026219008786050046
166,0.02919088551935469
167,0.039119604343302194
168,0.04174701696976588
169,0.028470364475407482
170,0.011616971374964615
171,0.018296921369386716
172,0.03932001670263808
173,0.040791568272476784
174,0.039066070752262
175,0.035166727289258445
176,0.030848479974256326
177,0.021024432360274885
178,0.008840281539496323
179,0.011318260374351624
180,0.018063018614069136
181,0.022065730858278267
182,0.014565758575817375
183,0.01111627012488336
184,0.01586950581075645
185,0.017399813274466124
186,0.02039845264313018
187,0.0138220089083608
188,0.005125484977877272
189,-0.00016719567353355757
190,-0.0012282186001694635
191,0.010651240881143192
192,0.026547628832020626
193,0.025658392942030938
194,0.015241571356573174
195,0.01688826297673183
196,0.02198510009418963
197,0.02436614739691423
198,0.015692063074919542
199,0.005645045669671132
200,-0.00025487672488153535
201,-0.002673056500708394
202,-0.0019915368621120514
203,0.009688357824280385
204,0.015918380664032825
205,0.021915528197783266
206,0.020414582464237975
207,0.013822520267557332
208,0.041742979083711856
209,0.09379346070226918
210,0.11496196793856113
211,0.09894762296882641
212,0.09181685301317119
213,0.06746631868928371
214,0.028835366386807823
215,0.0019696168071213203
216,-0.003827940115919577
217,0.0039758796983746635
218,0.00953342948169
219,0.021957747169539972
220,0.0292463655525268
221,0.03203286551988363
222,0.04171330651501112
223,0.04456625580997206
224,0.03961110496324462
225,0.038674620503100644
226,0.03844472019902811
227,0.03266302091550552
228,0.02662884650128977
229,0.019823932128171212
230,0.024723389083172193
231,0.03310150673801057
232,0.038641707823628205
233,0.03645945487333574
234,0.03219012894563181
235,0.028103397872063635
236,0.030733871863980217
237,0.03585035326788129
238,0.03933759970680813
239,0.040993009535876625
240,0.041502726161542915
241,0.041387020734386
242,0.0351038179153523
243,0.024386823816234353
244,0.026213427770190745
245,0.03411127253508986
246,0.0442572742850524
247,0.03593144270697953
248,0.03394391410584678
249,0.03862765234502562
250,0.06322748214887126
251,0.07775475738339385
252,0.06046867445069082
253,0.02967013314079487
254,0.012444474798988595
255,0.0171041475855184
256,0.02271795704379057
257,0.025296493844865934
258,0.025737870445761965
259,0.03086108545382819
260,0.03212012947437337
261,0.03644937422781843
262,0.03935567631835349
263,0.03547460008066344
264,0.02395563791457049
265,0.015165780027494032
266,0.017000410044901416
267,0.027962828805997174
268,0.040894537263064745
269,0.040237975056439376
270,0.0348131049971761
271,0.024754060620976584
272,0.02147281806639005
273,0.022118206498803302
274,0.028505532981885528
275,0.03573642276946583
276,0.03423922441580782
277,0.020924472466999654
278,0.02415521910048664
279,0.038201908236824594
280,0.05001270467548486
281,0.049946431213627435
282,0.040771913785411194
283,0.042092011493425424
284,0.03719136235784957
285,0.03608497193244136
286,0.05004649324916733
287,0.06744934084061963
288,0.06813210462299316
289,0.06286089298479008
290,0.059296834997083395
291,0.06665791794123745
292,0.07567114286473028
293,0.08092347024056616
294,0.08296914678139722
295,0.07729941434729237
296,0.060434412465211515
297,0.05021011917234652
298,0.041418807699698065
299,0.03710236085280374
300,0.04008099838937346
301,0.03426638563229241
302,0.022988714522952217
303,0.018805301269456197
304,0.01660171335609032
305,0.03507006019972284
306,0.05231056206086247
307,0.08045261390406652
308,0.09045089586650804
309,0.10173150649667626
310,0.10667324908174643
311,0.09438039936836645
312,0.0899434428196799
313,0.08080839709966071
314,0.0716248921390647
315,0.07209197008399924
316,0.06841356012695188
317,0.0515707253068442
318,0.0675134483981782
319,0.08911366004742571
320,0.10838297499982855
321,0.11116850728897183
322,0.09953251827518989
323,0.10815670122352813
324,0.1483343983831335
325,0.1452494014478349
326,0.11489961085275227
327,0.09089249228171692
328,0.07843252480033078
329,0.07351448536848776
330,0.06695208493791012
331,0.05100000557124535
332,0.02762926166301062
333,0.022540215797964204
334,0.031234837919360516
335,0.03716063393751906
336,0.04538429642015761
337,0.05162022922396673
338,0.04798037927112039
339,0.044903982563209516
340,0.0586750269539601
341,0.08173884939865939
342,0.09265520752013973
343,0.07693139538081825
344,0.07784632058180646
345,0.08960192462871429
346,0.07892393643024243
347,0.08409885786610247
348,0.08037997193407158
349,0.056478478652784304
350,0.059769699113385824
351,0.08421116921014737
352,0.11139778005946989
353,0.12337064551354088
354,0.09896176953006737
355,0.05933725582129481
356,0.02105115467276748
357,-0.0031209885226267378
358,0.0022682747696852737
359,0.03239420212421067
360,0.0459705609865283
361,0.04658768069215613
362,0.0397684246021639
363,0.032677226975398675
364,0.030365378507513315
365,0.0708218566255243
366,0.11571997872798234
367,0.1440790061093168
368,0.16121623363647578
369,0.18102745275752774
370,0.22282881634767482
371,0.2278746571196314
372,0.2162185690968894
373,0.16784522144275452
374,0.11290954343439534
375,0.08113322285063979
376,0.08003914692016635
377,0.09932414040069218
378,0.12581691270390596
379,0.13063727802686356
380,0.11111175593094567
381,0.08959334853981907
382,0.06661812042162331
383,0.05747349639626477
384,0.06481815644297104
385,0.11089311718502916
386,0.19456516023254522
387,0.22228966880869416
388,0.2047813116231615
